Uid,Sid,Time,UpdateTime,time,calories,bpm,spo2,steps,distance,end_time,start_time,avg_hr,avg_spo2,bedtime,breath_quality,sleep_deep_duration,device_bedtime,device_wake_up_time,sleep_light_duration,max_hr,max_spo2,min_hr,min_spo2,protoTime,sleep_rem_duration,duration,items,timezone,version,awake_count,sleep_awake_duration,wake_up_time,daily_high_intensity_vitality,daily_low_intensity_vitality,daily_medium_intensity_vitality,suggested_activity_duration,suggested_activity_type,date_time,latest_accumulated_vitality,current_day_train_load,current_train_load_level,wtl_sum,stress,weight
8279399076,765279083,2025-02-27 00:02:00,2025-02-27 09:10:25,1740614520.0,2.0,,,43.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-27 00:01:00,2025-02-27 09:10:25,1740614460.0,4.0,,,42.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 23:50:00,2025-02-27 09:10:25,1740613800.0,2.0,,,24.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 23:49:00,2025-02-27 09:10:25,1740613740.0,2.0,,,25.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 23:48:00,2025-02-27 09:10:25,1740613680.0,2.0,,,75.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 23:47:00,2025-02-27 09:10:25,1740613620.0,3.0,,,31.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 23:43:00,2025-02-27 09:10:25,1740613380.0,2.0,,,10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 22:19:00,2025-02-27 09:10:25,1740608340.0,5.0,,,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 22:18:00,2025-02-27 09:10:25,1740608280.0,3.0,,,59.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 22:17:00,2025-02-27 09:10:25,1740608220.0,4.0,,,10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 22:16:00,2025-02-27 09:10:25,1740608160.0,2.0,,,23.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 22:01:00,2025-02-27 09:10:25,1740607260.0,3.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 22:00:00,2025-02-27 09:10:25,1740607200.0,2.0,,,40.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 21:56:00,2025-02-27 09:09:52,1740606960.0,1.0,,,16.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 21:46:00,2025-02-27 09:09:52,1740606360.0,3.0,,,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 21:24:00,2025-02-27 09:09:52,1740605040.0,1.0,,,10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 21:23:00,2025-02-27 09:09:52,1740604980.0,3.0,,,26.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 21:22:00,2025-02-27 09:09:52,1740604920.0,2.0,,,19.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 20:43:00,2025-02-27 09:09:52,1740602580.0,4.0,,,24.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 20:40:00,2025-02-27 09:09:52,1740602400.0,3.0,,,45.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 20:38:00,2025-02-27 09:09:52,1740602280.0,2.0,,,24.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 20:37:00,2025-02-27 09:09:52,1740602220.0,4.0,,,34.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 20:36:00,2025-02-27 09:09:52,1740602160.0,2.0,,,15.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 20:35:00,2025-02-27 09:09:52,1740602100.0,4.0,,,76.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 20:34:00,2025-02-27 09:09:52,1740602040.0,5.0,,,98.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 20:32:00,2025-02-27 09:09:52,1740601920.0,2.0,,,34.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 20:29:00,2025-02-27 09:09:52,1740601740.0,2.0,,,15.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 20:28:00,2025-02-27 09:09:52,1740601680.0,1.0,,,15.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 20:24:00,2025-02-27 09:09:52,1740601440.0,2.0,,,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 20:21:00,2025-02-27 09:09:52,1740601260.0,4.0,,,43.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279399076,765279083,2025-02-26 20:20:00,2025-02-27 09:09:52,1740601200.0,4.0,,,71.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
